CMDLINE /Users/wataruoshima/CSCI651/venv/bin/python3 a_star_pygame_grid.py 50 50 1 1 0 0
MEM 0.355469 1670220204.4091
MEM 22.625000 1670220204.5124
MEM 30.847656 1670220204.6149
MEM 38.179688 1670220204.7185
MEM 39.031250 1670220204.8209
MEM 40.097656 1670220204.9257
MEM 39.199219 1670220205.0305
MEM 39.453125 1670220205.1344
MEM 39.949219 1670220205.2346
MEM 40.859375 1670220205.3357
MEM 41.000000 1670220205.4357
MEM 41.238281 1670220205.5392
MEM 41.238281 1670220205.6436
MEM 41.250000 1670220205.7469
MEM 41.250000 1670220205.8479
MEM 41.250000 1670220205.9510
MEM 41.292969 1670220206.0557
MEM 41.292969 1670220206.1571
MEM 41.292969 1670220206.2605
MEM 41.292969 1670220206.3640
MEM 41.292969 1670220206.4661
MEM 41.292969 1670220206.5696
MEM 41.292969 1670220206.6723
MEM 41.304688 1670220206.7769
MEM 41.304688 1670220206.8807
MEM 41.304688 1670220206.9813
MEM 41.304688 1670220207.0814
MEM 41.304688 1670220207.1816
MEM 41.304688 1670220207.2865
MEM 41.304688 1670220207.3901
MEM 41.304688 1670220207.4908
MEM 41.320312 1670220207.5958
MEM 41.320312 1670220207.6989
MEM 41.320312 1670220207.8027
MEM 41.339844 1670220207.9067
MEM 41.339844 1670220208.0106
MEM 41.339844 1670220208.1145
MEM 41.339844 1670220208.2168
MEM 41.339844 1670220208.3216
MEM 41.339844 1670220208.4229
MEM 41.339844 1670220208.5240
MEM 41.339844 1670220208.6277
MEM 41.339844 1670220208.7285
MEM 41.339844 1670220208.8294
MEM 41.339844 1670220208.9344
MEM 41.339844 1670220209.0349
MEM 41.339844 1670220209.1387
MEM 41.339844 1670220209.2428
MEM 41.339844 1670220209.3447
MEM 41.351562 1670220209.4455
MEM 41.351562 1670220209.5457
MEM 41.351562 1670220209.6462
MEM 41.367188 1670220209.7469
MEM 41.367188 1670220209.8491
MEM 41.367188 1670220209.9493
MEM 41.367188 1670220210.0494
MEM 41.367188 1670220210.1542
MEM 41.367188 1670220210.2584
MEM 41.367188 1670220210.3614
MEM 41.367188 1670220210.4620
MEM 41.367188 1670220210.5624
MEM 41.367188 1670220210.6637
MEM 41.367188 1670220210.7671
MEM 41.367188 1670220210.8717
MEM 41.367188 1670220210.9739
MEM 41.367188 1670220211.0746
MEM 41.367188 1670220211.1769
MEM 41.367188 1670220211.2818
MEM 41.367188 1670220211.3821
MEM 41.367188 1670220211.4822
MEM 41.367188 1670220211.5827
MEM 41.367188 1670220211.6869
MEM 41.367188 1670220211.7901
MEM 41.367188 1670220211.8933
MEM 41.367188 1670220211.9953
MEM 41.367188 1670220212.0989
MEM 41.367188 1670220212.2032
MEM 41.367188 1670220212.3079
MEM 41.367188 1670220212.4120
MEM 41.367188 1670220212.5152
MEM 41.367188 1670220212.6193
MEM 41.367188 1670220212.7231
MEM 41.367188 1670220212.8267
MEM 41.367188 1670220212.9317
MEM 41.367188 1670220213.0358
MEM 41.367188 1670220213.1386
MEM 41.367188 1670220213.2420
MEM 41.367188 1670220213.3443
MEM 41.367188 1670220213.4472
MEM 41.367188 1670220213.5476
MEM 41.367188 1670220213.6482
MEM 41.367188 1670220213.7491
MEM 41.386719 1670220213.8531
MEM 41.386719 1670220213.9560
MEM 41.386719 1670220214.0590
MEM 41.386719 1670220214.1637
MEM 41.386719 1670220214.2644
MEM 41.386719 1670220214.3666
MEM 41.386719 1670220214.4673
MEM 41.386719 1670220214.5674
MEM 41.386719 1670220214.6687
MEM 41.386719 1670220214.7732
MEM 41.386719 1670220214.8735
MEM 41.386719 1670220214.9771
MEM 41.386719 1670220215.0805
MEM 41.386719 1670220215.1813
MEM 41.386719 1670220215.2856
MEM 41.386719 1670220215.3884
MEM 41.386719 1670220215.4898
MEM 41.386719 1670220215.5906
MEM 41.386719 1670220215.6941
MEM 41.386719 1670220215.7955
MEM 41.386719 1670220215.9001
MEM 41.386719 1670220216.0006
MEM 41.386719 1670220216.1007
MEM 41.386719 1670220216.2046
MEM 41.386719 1670220216.3080
MEM 41.386719 1670220216.4119
MEM 41.386719 1670220216.5169
MEM 41.386719 1670220216.6202
MEM 41.386719 1670220216.7206
MEM 41.386719 1670220216.8230
MEM 41.386719 1670220216.9240
MEM 41.386719 1670220217.0288
MEM 41.386719 1670220217.1331
MEM 41.386719 1670220217.2353
MEM 41.386719 1670220217.3393
MEM 41.386719 1670220217.4401
MEM 41.386719 1670220217.5447
MEM 41.386719 1670220217.6477
MEM 41.386719 1670220217.7479
MEM 41.386719 1670220217.8496
MEM 41.386719 1670220217.9506
MEM 41.386719 1670220218.0517
MEM 41.386719 1670220218.1559
MEM 41.386719 1670220218.2609
MEM 41.386719 1670220218.3645
MEM 41.386719 1670220218.4654
MEM 41.386719 1670220218.5697
MEM 41.386719 1670220218.6731
MEM 41.386719 1670220218.7780
MEM 41.402344 1670220218.8806
MEM 41.402344 1670220218.9828
MEM 41.402344 1670220219.0837
MEM 41.402344 1670220219.1840
MEM 41.402344 1670220219.2886
MEM 41.402344 1670220219.3904
MEM 41.402344 1670220219.4908
MEM 41.402344 1670220219.5947
MEM 41.402344 1670220219.6982
MEM 41.402344 1670220219.8012
MEM 41.402344 1670220219.9057
MEM 41.402344 1670220220.0097
MEM 41.402344 1670220220.1098
MEM 41.402344 1670220220.2130
MEM 41.402344 1670220220.3166
MEM 41.402344 1670220220.4206
MEM 41.402344 1670220220.5221
MEM 41.402344 1670220220.6262
MEM 41.402344 1670220220.7296
MEM 41.402344 1670220220.8319
